artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Mooki,Mooki Tape,hip-hop/rap,https://fourthquarterrecords.bandcamp.com/album/mooki-tape,manitoba,2.6,4,2020-04-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f1618f971aa2bae508aaf5b4,7eaZkds8vvu2YaCaYIQ0f4,0UDTHZVE2QGS0biZN9roy1
Olivier Alary,Fiction / Non-Fiction,experimental,https://olivieralary.bandcamp.com/album/fiction-non-fiction,montreal,2.4,6,2017-03-31T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cc3d3458d8f6a77839cbc1a5,2ojAzzQCAjHBBUHjt9OsOP,7tg7utIvViIXxA4zi0vl2t
Olivier Alary,Pieces for Sine Wave Oscillators,experimental,https://olivieralary.bandcamp.com/album/pieces-for-sine-wave-oscillators,montreal,2.4,6,2017-06-09T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02663e13b4579f462218613969,0t4NoRQg8FQriH2u3DkbQK,7tg7utIvViIXxA4zi0vl2t
Jodi Proznick,Sun Songs,jazz,https://jodiproznick.bandcamp.com/album/sun-songs,vancouver,2.4,6,2017-12-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02af07b10046323edc7d984c3b,17HKxEetp2UW1qjxb1oTG7,2spdlVyq7KgDP7s3EVQcDO
The Small Victories,The Small Victories,alternative,https://thesmallvictories.bandcamp.com/album/the-small-victories,novascotia,2.4,6,2015-05-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a3f3b9b6b7ca1fb13e28df53,3bPYR9nlFLs4zqveReVkM9,7zg9fZcylG8DqwY9Z7Eirg
Sick Winds,The First Wind Never Ended,alternative,https://sickwinds.bandcamp.com/album/the-first-wind-never-ended,ottawa,2.4,6,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025ae9055e9d07ef92b5d38d2f,1AW8spH6u1lNNh6pvUo7ja,5B1aOcwpWNRYQZjLsjlC4P
Amanda Jackson Band,OCEAN,pop,https://amandajacksonband.bandcamp.com/album/ocean,pei,2.4,6,2020-04-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d793705fc85c28b6d12d5e6a,5bzQOredYZZ0gV4bRNbg0P,1rsnYoKcEZ9G1DdqSGzoYm
Shane Pendergast,Place to the Name,folk,https://shanependergast.bandcamp.com/album/place-to-the-name,pei,2.4,6,2020-02-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d4138e115acc53bffb80e629,23J2mCFErLKIfmTVYDowWy,7tZRWCtvjQO3Q1tjlzzfFw
Meta,Urabus,electronic,https://meta14.bandcamp.com/album/urabus,edmonton,2.4,6,2020-04-03T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a0c076fd1ac461051d2d81bb,1nXLOQbA9bqJJ27qC8JRpC,4lZYxd4gadfhoR2rWBHMsk
JayWood,Time,alternative,https://jaywood1.bandcamp.com/album/time,manitoba,2.4,6,2019-06-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020e1b5fe4a35f79e90ae6dd72,2mQ5Xy4OfB6cR0TY93xhp0,4b9Dr3XFxT65mrPBFY6mqG
Deified,Deified,electronic,https://deifieddarling.bandcamp.com/album/deified,alberta,2.4,6,2019-06-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022f9b4ed668e11b621ac2bf1e,01W6m5bDxV8r4WwDMXT6P6,5UjK0YuHj0SB1ekRncJeaB
Amy Gabba and The Almost Famous,The Heart Is Stupid,alternative,https://amygabba.bandcamp.com/album/the-heart-is-stupid,toronto,2.0,5,2019-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02855eb045f71b48137c947a02,3QOosQgJjVYkJN00pSWmMJ,4pzlkahrfgqsgkGI5QoUam
Lucie Blue Tremblay,I'm Ready,folk,https://luciebluetremblay.bandcamp.com/album/im-ready,novascotia,2.0,5,1997-01-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02baaa05cb290891821d4de798,7DxGNwpmDmiUSz7ANjLJy2,24alIBkJ3mDyzV8xT34LrG
Lucie Blue Tremblay,Counting My Blessings,folk,https://luciebluetremblay.bandcamp.com/album/counting-my-blessings,novascotia,2.0,5,2017-10-12T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0285cdeb2961dd6dfd1a4ef626,0K2kZu5zHBSnZk1ImIaPy3,24alIBkJ3mDyzV8xT34LrG
Lucie Blue Tremblay,It's Got to Be About Love,folk,https://luciebluetremblay.bandcamp.com/album/its-got-to-be-about-love,novascotia,2.0,5,2004-01-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025c11685cbdbf1658396237c6,6Ygn5Y27GzionyWQ1xXbMA,24alIBkJ3mDyzV8xT34LrG
Lucie Blue Tremblay,Because of You,folk,https://luciebluetremblay.bandcamp.com/album/because-of-you,novascotia,2.0,5,2003-01-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b517601f0e4b2b2fa7ce55ea,0b7DsmfQP9oMFBhMHfLB5G,24alIBkJ3mDyzV8xT34LrG
Lucie Blue Tremblay,When I Was A Puppy,folk,https://luciebluetremblay.bandcamp.com/album/when-i-was-a-puppy,novascotia,2.0,5,2016-01-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0248f35369a56c0db2699bc493,7Cc3k3O4qYnyfugddlHeoD,24alIBkJ3mDyzV8xT34LrG
Danielle Allard,Passing Notes,pop,https://danielleallard.bandcamp.com/album/passing-notes,ottawa,2.0,5,2018-05-19T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022f7c2b78b4882ce5c4bf9001,1xyfxl6u3iclujbOZzK3md,6JieflA8hyq6EzzBFkoW6n
