artist,title,genre,rating,score,url,source,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
2nd Grade,Hit to Hit,Pop/Rock,4.0,73.0,https://www.allmusic.com/album/hit-to-hit-mw0003375123,allmusic,25,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d8a56d1205629f21ac629087,2KNLOuDICx4jUFfa9FhZ91,6mG7RLvtGBHIg4jdb8urYb
Jade Hairpins,Harmony Avenue,Pop/Rock,4.0,72.2,https://www.allmusic.com/album/harmony-avenue-mw0003368373,allmusic,21,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0270f62f3fe58cb7b8259031bf,7u6RegcV0P0cEZ0rEZYMmS,0sCQZaT5rz9fVUdjZw80Nh
ARTHUR,Hair of the Dog,Pop/Rock,4.0,71.933,https://www.allmusic.com/album/hair-of-the-dog-mw0003375589,allmusic,43,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02db59437636f1219033bdc608,46jao2qqRTgIzkzHuE2wYs,0vIme0FGc4SmFByKiV27tw
Blake Mills,Mutable Set,Pop/Rock,4.0,71.8,https://www.allmusic.com/album/mutable-set-mw0003368857,allmusic,54,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021458148758e5b7c8ea04ca9d,3WBhKuBk77KL4nUHkP2xaW,4LhV33vJvXmFGSM3m5RzUR
Indigo Girls,Look Long,Pop/Rock,3.5,71.467,https://www.allmusic.com/album/look-long-mw0003365240,allmusic,59,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02456797e45e3bc3418482e34a,4e2BgEu0aICMknl0LiE4nl,4wM29TDTr3HI0qFY3KoSFG
Varsity,Fine Forever,Pop/Rock,3.5,71.0,https://www.allmusic.com/album/fine-forever-mw0003372420,allmusic,45,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0294117c0b7604b526410a0acd,77iAxkhauPR3UR8RYNqQFj,339XMxg3AyRbEfeIAlxB2c
The 1975,Notes On A Conditional Form,Pop/Rock,3.0,70.667,https://www.allmusic.com/album/notes-on-a-conditional-form-mw0003328609,allmusic,85,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024400af0debecb047939c9254,0o5xjCboti8vXhdoUG9LYi,3mIj9lX2MWuHmhNCA7LSCW
The Airborne Toxic Event,Hollywood Park,Pop/Rock,3.5,70.667,https://www.allmusic.com/album/hollywood-park-mw0003365071,allmusic,55,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020147a038a1e366e5842adf6f,2d42Qc4Nk1Bohl2bMYZIZP,7xovAENFxmyEWhzbnHsB3Z
Jon Balke,Discourses,Avant-Garde,4.0,70.333,https://www.allmusic.com/album/discourses-mw0003380494,allmusic,35,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c198f90dd1aebdf6088bbc6d,13CqdeTTiY5X2go3BHyIIa,1rFjt7CpwkXN6SB7PjKviq
Reckless Kelly,American Jackpot/American Girls,Pop/Rock,3.5,70.267,https://www.allmusic.com/album/american-jackpot-american-girls-mw0003368491,allmusic,53,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023a42345cfda3945cda7cd6ab,2xDHBirtzz6DxriEo6t6h4,0jmPjksXqVrO92Urmx58vg
Linda Guilala,Espacio de Tiempo (2009-2019),Pop/Rock,4.0,70.067,https://www.allmusic.com/album/espacio-de-tiempo-2009-2019-mw0003385414,allmusic,22,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e4407f243a5946903cc59af7,3Y07caGjV254xZRs9drUuG,0H30k58Q3nJbJF5Bgjwdqj
Kidbug,Kidbug,Pop/Rock,4.0,70.067,https://www.allmusic.com/album/kidbug-mw0003362024,allmusic,22,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a999c3f310742081c07abe15,66GXhM095D1qSU4Lm2n3kK,1SEaMEfbn1R23807Xhp4Kf
The Reflectors,First Impression,Pop/Rock,4.0,69.4,https://www.allmusic.com/album/first-impression-mw0003377098,allmusic,7,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02600511c7faa12af81bab3396,04pPFAOFxfDjsE3BzefmlD,03utaaFlbNiZbAhpkavKSs
Brigid Dawson and the Mothers Network,Ballet of Apes,Pop/Rock,4.0,69.267,https://www.allmusic.com/album/ballet-of-apes-mw0003378017,allmusic,18,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023c2d47b99438c1df4b29cd67,6idL156uolA1BkP1nduQfn,19haL8PgVQHfepTx7nwqFe
Marisa Anderson,The Quickening,Avant-Garde,4.0,69.133,https://www.allmusic.com/album/the-quickening-mw0003367418,allmusic,29,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0279c78ec17509ef84f5f441d5,5wxtWLeap4Epa3VZPhKOcE,2e5Czu1HGML44EmIuNsA4o
Magnetic Fields,Quickies,Pop/Rock,3.5,68.933,https://www.allmusic.com/album/quickies-mw0003360789,allmusic,58,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02006aa05b13344b181f5cb817,3cfAOzFocfGJr9dk1c2Hdu,6RWjTQqILL7a1tQ0VapyLK
Spirit Fest,Mirage Mirage,Pop/Rock,4.0,68.533,https://www.allmusic.com/album/mirage-mirage-mw0003370404,allmusic,26,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0282ba47d2d752ae04696071fd,0v1KfeVLfs4gYCDfERfqoM,1pa1czQVBBys9koDmNMBRB
Chemtrails,The Peculiar Smell of the Inevitable,Pop/Rock,4.0,68.533,https://www.allmusic.com/album/the-peculiar-smell-of-the-inevitable-mw0003368204,allmusic,26,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025d3084ae51310ccb21ea7fa2,3MwbLQ3echQz4rIos7KhzD,2AvNtsTKAOkaoD7aonyHHJ
